plant_id,meter_id,meter_reading,date,created_at,data_availability,guid
900005,910009,236879875.0,2025-10-20 16:00:10.000000 UTC,2025-10-20 16:00:10.000000 UTC,1.0,plant-guid-00000000
900004,910004,312021924.0,2025-10-20 16:00:10.000000 UTC,2025-10-20 16:00:10.000000 UTC,1.0,plant-guid-00000001
900005,910008,232449765.0,2025-10-20 16:00:10.000000 UTC,2025-10-20 16:00:10.000000 UTC,1.0,plant-guid-00000002
900003,910001,99818914.0,2025-10-20 16:00:10.000000 UTC,2025-10-20 16:00:10.000000 UTC,1.0,plant-guid-00000003
900003,910000,207325750.0,2025-10-20 16:00:10.000000 UTC,2025-10-20 16:00:10.000000 UTC,1.0,plant-guid-00000004
900001,910010,506408687.0,2025-10-20 16:00:10.000000 UTC,2025-10-20 16:00:10.000000 UTC,1.0,plant-guid-00000005
900003,910001,99558703.0,2025-10-19 16:00:09.000000 UTC,2025-10-19 16:00:09.000000 UTC,1.0,plant-guid-00000006
900003,910000,206810843.0,2025-10-19 16:00:09.000000 UTC,2025-10-19 16:00:09.000000 UTC,1.0,plant-guid-00000007
900003,910005,104906303.0,2025-10-19 16:00:09.000000 UTC,2025-10-19 16:00:09.000000 UTC,1.0,plant-guid-00000008
900002,910003,587313750.0,2025-10-19 16:00:09.000000 UTC,2025-10-19 16:00:09.000000 UTC,1.0,plant-guid-00000009
900005,910009,236413578.0,2025-10-19 16:00:09.000000 UTC,2025-10-19 16:00:09.000000 UTC,1.0,plant-guid-00000010
900005,910008,232001562.0,2025-10-19 16:00:09.000000 UTC,2025-10-19 16:00:09.000000 UTC,1.0,plant-guid-00000011
900001,910010,505264562.0,2025-10-19 16:00:09.000000 UTC,2025-10-19 16:00:09.000000 UTC,1.0,plant-guid-00000012
900004,910004,311045015.0,2025-10-19 16:00:09.000000 UTC,2025-10-19 16:00:09.000000 UTC,1.0,plant-guid-00000013
900004,910006,321635802.0,2025-10-19 16:00:09.000000 UTC,2025-10-19 16:00:09.000000 UTC,1.0,plant-guid-00000014
900002,910003,588491187.0,2025-10-20 16:00:10.000000 UTC,2025-10-20 16:00:10.000000 UTC,1.0,plant-guid-00000015
900004,910006,322752178.0,2025-10-20 16:00:10.000000 UTC,2025-10-20 16:00:10.000000 UTC,1.0,plant-guid-00000016
900003,910005,105181875.0,2025-10-20 16:00:10.000000 UTC,2025-10-20 16:00:10.000000 UTC,1.0,plant-guid-00000017
900003,910001,81359531.0,2025-06-25 16:00:10.000000 UTC,2025-06-25 16:00:10.000000 UTC,1.0,plant-guid-00000018
900003,910000,172197250.0,2025-06-25 16:00:10.000000 UTC,2025-06-25 16:00:10.000000 UTC,1.0,plant-guid-00000019
900003,910005,85343773.0,2025-06-25 16:00:10.000000 UTC,2025-06-25 16:00:10.000000 UTC,1.0,plant-guid-00000020
900002,910003,445776750.0,2025-06-25 16:00:10.000000 UTC,2025-06-25 16:00:10.000000 UTC,1.0,plant-guid-00000021
900005,910009,196877312.0,2025-06-25 16:00:10.000000 UTC,2025-06-25 16:00:10.000000 UTC,1.0,plant-guid-00000022
900005,910008,189910890.0,2025-06-25 16:00:10.000000 UTC,2025-06-25 16:00:10.000000 UTC,1.0,plant-guid-00000023
900001,910002,422026218.0,2025-06-25 16:00:10.000000 UTC,2025-06-25 16:00:10.000000 UTC,1.0,plant-guid-00000024
900004,910004,245770907.0,2025-06-25 16:00:10.000000 UTC,2025-06-25 16:00:10.000000 UTC,1.0,plant-guid-00000025
900004,910006,237751004.0,2025-06-25 16:00:10.000000 UTC,2025-06-25 16:00:10.000000 UTC,1.0,plant-guid-00000026
900003,910005,85238789.0,2025-06-24 16:00:10.000000 UTC,2025-06-24 16:00:10.000000 UTC,1.0,plant-guid-00000027
900003,910000,171994046.0,2025-06-24 16:00:10.000000 UTC,2025-06-24 16:00:10.000000 UTC,1.0,plant-guid-00000028
900003,910001,81238671.0,2025-06-24 16:00:10.000000 UTC,2025-06-24 16:00:10.000000 UTC,1.0,plant-guid-00000029
900002,910003,444433062.0,2025-06-24 16:00:10.000000 UTC,2025-06-24 16:00:10.000000 UTC,1.0,plant-guid-00000030
900005,910009,196520375.0,2025-06-24 16:00:10.000000 UTC,2025-06-24 16:00:10.000000 UTC,1.0,plant-guid-00000031
900005,910008,189519640.0,2025-06-24 16:00:10.000000 UTC,2025-06-24 16:00:10.000000 UTC,1.0,plant-guid-00000032
900001,910002,421246531.0,2025-06-24 16:00:10.000000 UTC,2025-06-24 16:00:10.000000 UTC,1.0,plant-guid-00000033
900004,910004,245262072.0,2025-06-24 16:00:10.000000 UTC,2025-06-24 16:00:10.000000 UTC,1.0,plant-guid-00000034
900004,910006,236962812.0,2025-06-24 16:00:10.000000 UTC,2025-06-24 16:00:10.000000 UTC,1.0,plant-guid-00000035
900003,910005,85591812.0,2025-06-26 16:00:10.000000 UTC,2025-06-26 16:00:10.000000 UTC,1.0,plant-guid-00000036
900003,910000,172652656.0,2025-06-26 16:00:10.000000 UTC,2025-06-26 16:00:10.000000 UTC,1.0,plant-guid-00000037
900003,910001,81609351.0,2025-06-26 16:00:10.000000 UTC,2025-06-26 16:00:10.000000 UTC,1.0,plant-guid-00000038
900002,910003,447266968.0,2025-06-26 16:00:10.000000 UTC,2025-06-26 16:00:10.000000 UTC,1.0,plant-guid-00000039
900005,910008,190525296.0,2025-06-26 16:00:10.000000 UTC,2025-06-26 16:00:10.000000 UTC,1.0,plant-guid-00000040
900005,910009,197408375.0,2025-06-26 16:00:10.000000 UTC,2025-06-26 16:00:10.000000 UTC,1.0,plant-guid-00000041
